,dataset,method,train_or_test,corr_min,corr_max,corr_mean,corr_std,return,sigma,sharpe,information,modigliani
28,indextrack2,MVOvolatility,train,-0.8815557931910364,0.97938744536383,0.39660054435206554,0.3795562102808713,0.16818597059888638,0.26038166929509066,0.6117403388268762,0.6449823196275846,0.16778791430902096
29,indextrack2,MVOvolatility,test,-0.8405069647446743,0.9888866886363996,0.6189757649759938,0.4058338042765021,1.345734687125307,0.24789819704311733,5.3926761189505115,5.434342170396024,1.3390763121914742
30,indextrack2,MVOrisk,train,-0.8815557931910364,0.97938744536383,0.39660054435206554,0.3795562102808713,0.16818597059888638,0.26038166929509066,0.6117403388268762,0.6449823196275846,0.16778791430902096
31,indextrack2,MVOrisk,test,-0.8405069647446743,0.9888866886363996,0.6189757649759938,0.4058338042765021,1.345734687125307,0.24789819704311733,5.3926761189505115,5.434342170396024,1.3390763121914742
32,indextrack2,MVOreturn,train,-0.8815557931910364,0.97938744536383,0.39660054435206554,0.3795562102808713,0.16818597059888638,0.26038166929509066,0.6117403388268762,0.6449823196275846,0.16778791430902096
33,indextrack2,MVOreturn,test,-0.8405069647446743,0.9888866886363996,0.6189757649759938,0.4058338042765021,1.345734687125307,0.24789819704311733,5.3926761189505115,5.434342170396024,1.3390763121914742
34,indextrack2,MVOsharpe,train,-0.8815557931910364,0.97938744536383,0.39660054435206554,0.3795562102808713,0.16818597059888638,0.26038166929509066,0.6117403388268762,0.6449823196275846,0.16778791430902096
35,indextrack2,MVOsharpe,test,-0.8405069647446743,0.9888866886363996,0.6189757649759938,0.4058338042765021,1.345734687125307,0.24789819704311733,5.3926761189505115,5.434342170396024,1.3390763121914742
36,indextrack2,CLAvolatility,train,-0.8815557931910364,0.97938744536383,0.39660054435206554,0.3795562102808713,0.16818597059888638,0.26038166929509066,0.6117403388268762,0.6449823196275846,0.16778791430902096
37,indextrack2,CLAvolatility,test,-0.8405069647446743,0.9888866886363996,0.6189757649759938,0.4058338042765021,1.345734687125307,0.24789819704311733,5.3926761189505115,5.434342170396024,1.3390763121914742
38,indextrack2,CLAsharpe,train,-0.8815557931910364,0.97938744536383,0.39660054435206554,0.3795562102808713,0.16818597059888638,0.26038166929509066,0.6117403388268762,0.6449823196275846,0.16778791430902096
39,indextrack2,CLAsharpe,test,-0.8405069647446743,0.9888866886363996,0.6189757649759938,0.4058338042765021,1.345734687125307,0.24789819704311733,5.3926761189505115,5.434342170396024,1.3390763121914742
40,indextrack2,HRP,train,-0.8815557931910364,0.97938744536383,0.39660054435206554,0.3795562102808713,-0.023357093650330448,0.2547701435575023,-0.12661253473388231,-0.09248484100151888,-0.023985197023010524
41,indextrack2,HRP,test,-0.8405069647446743,0.9888866886363996,0.6189757649759938,0.4058338042765021,1.3749602496327384,0.2692383834343555,5.073794576417835,5.552825706414692,1.2604198779989098
42,indextrack3,MVOvolatility,train,-0.6941546382980734,0.9913851551545559,0.49905223477423205,0.42252417916798757,0.807000547474814,0.3006217473882336,2.6548330398868933,2.680356966410604,0.8050597087008803
